X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered
133,-25,1,Australia,2020-04-26T16:31:20.000Z,-25,133,6694,80,5364
14.5501,47.5162,2,Austria,2020-04-26T16:30:33.000Z,47.5162,14.5501,15225,542,12282
-95.001,60.001,3,Canada,2020-04-26T16:30:55.000Z,60.001,-95.001,45606,2557,16504
114.3055,30.5928,4,China,2020-04-26T13:43:35.000Z,30.5928,114.3055,83909,4636,78188
10,56,5,Denmark,2020-04-26T16:30:33.000Z,56,10,8773,422,5994
25.7482,61.9241,6,Finland,2020-04-26T16:30:33.000Z,61.9241,25.7482,4576,190,2500
2.2137,46.2276,7,France,2020-04-26T16:30:33.000Z,46.2276,2.2137,161665,22648,45372
10.4515,51.1657,8,Germany,2020-04-26T16:30:33.000Z,51.1657,10.4515,157114,5884,109800
-19.0208,64.9631,9,Iceland,2020-04-26T16:30:33.000Z,64.9631,-19.0208,1792,10,1608
-7.6921,53.1424,10,Ireland,2020-04-26T16:30:33.000Z,53.1424,-7.6921,18561,1063,9233
12.5674,41.8719,11,Italy,2020-04-26T16:30:33.000Z,41.8719,12.5674,197675,26644,64928
5.55,52.3167,12,Netherlands,2020-04-26T16:30:33.000Z,52.3167,5.55,38040,4491,113
8.4689,60.472,13,Norway,2020-04-26T16:30:33.000Z,60.472,8.4689,7499,201,32
105.3188,61.524,14,Russia,2020-04-26T16:30:33.000Z,61.524,105.3188,80949,747,6767
18.6435,60.1282,15,Sweden,2020-04-26T16:30:33.000Z,60.1282,18.6435,18640,2194,1005
8.2275,46.8182,16,Switzerland,2020-04-26T16:30:33.000Z,46.8182,8.2275,29061,1607,21300
-3,55,17,United Kingdom,2020-04-26T16:30:33.000Z,55,-3,154032,20794,778
-100,40,18,US,2020-04-26T16:31:05.000Z,40,-100,943865,54480,105982
67.709953,33.93911,19,Afghanistan,2020-04-26T16:30:33.000Z,33.93911,67.709953,1531,50,207
20.1683,41.1533,20,Albania,2020-04-26T16:30:33.000Z,41.1533,20.1683,726,28,410
1.6596,28.0339,21,Algeria,2020-04-26T16:30:33.000Z,28.0339,1.6596,3382,425,1508
1.5218,42.5063,22,Andorra,2020-04-26T16:30:33.000Z,42.5063,1.5218,738,40,344
17.8739,-11.2027,23,Angola,2020-04-26T16:30:33.000Z,-11.2027,17.8739,25,2,6
-61.7964,17.0608,24,Antigua and Barbuda,2020-04-26T16:30:33.000Z,17.0608,-61.7964,24,3,11
-63.6167,-38.4161,25,Argentina,2020-04-26T16:30:33.000Z,-38.4161,-63.6167,3780,187,1107
45.0382,40.0691,26,Armenia,2020-04-26T16:30:33.000Z,40.0691,45.0382,1746,28,833
47.5769,40.1431,27,Azerbaijan,2020-04-26T16:30:33.000Z,40.1431,47.5769,1645,21,1139
-78.035889,25.025885,28,Bahamas,2020-04-26T16:30:33.000Z,25.025885,-78.035889,78,11,15
50.55,26.0275,29,Bahrain,2020-04-26T16:30:33.000Z,26.0275,50.55,2633,8,1160
90.3563,23.685,30,Bangladesh,2020-04-26T16:30:33.000Z,23.685,90.3563,5416,145,122
-59.5432,13.1939,31,Barbados,2020-04-26T16:30:33.000Z,13.1939,-59.5432,79,6,32
27.9534,53.7098,32,Belarus,2020-04-26T16:30:33.000Z,53.7098,27.9534,10463,72,1695
4.469936,50.8333,33,Belgium,2020-04-26T16:30:33.000Z,50.8333,4.469936,46134,7094,10785
-88.4976,17.1899,34,Belize,2020-04-26T16:30:33.000Z,17.1899,-88.4976,18,2,5
2.3158,9.3077,35,Benin,2020-04-26T16:30:33.000Z,9.3077,2.3158,54,1,27
90.4336,27.5142,36,Bhutan,2020-04-26T16:30:33.000Z,27.5142,90.4336,7,0,4
-63.5887,-16.2902,37,Bolivia,2020-04-26T16:30:33.000Z,-16.2902,-63.5887,866,46,54
