Date,Cumulative,New_Cases,Recovered,Deaths
20/3/2020,0,0,0,0
21/3/2020,1,1,0,1
22/3/2020,1,0,0,1
23/3/2020,1,0,0,1
24/3/2020,1,0,0,1
25/3/2020,1,0,0,1
26/3/2020,3,2,0,1
27/3/2020,3,0,0,1
28/3/2020,3,0,0,1
29/3/2020,3,0,0,1
30/3/2020,3,0,0,1
31/3/2020,3,0,0,1
1/4/2020,3,0,0,1
2/4/2020,4,1,0,1
3/4/2020,4,0,0,1
4/4/2020,4,0,0,1
5/4/2020,4,0,0,1
6/4/2020,5,1,0,1
7/4/2020,5,0,0,1
8/4/2020,5,0,0,1
9/4/2020,5,0,0,1
10/4/2020,7,2,0,1
11/4/2020,7,0,0,1
12/4/2020,7,0,0,1
13/4/2020,7,0,0,1
14/4/2020,8,1,0,1
15/4/2020,8,0,0,1
16/4/2020,9,1,0,1
17/4/2020,9,0,0,1
18/4/2020,10,1,0,1
19/4/2020,10,0,0,1
20/4/2020,10,0,0,1
21/4/2020,12,2,0,1
22/4/2020,12,0,0,1
23/4/2020,12,0,0,1
24/4/2020,12,0,0,1
25/4/2020,13,1,0,1
26/4/2020,13,0,0,1
27/4/2020,13,0,0,1
28/4/2020,13,0,0,1
29/4/2020,13,0,0,1
30/4/2020,13,0,0,1
1/5/2020,13,0,0,1
2/5/2020,13,0,0,1
3/5/2020,13,0,0,1
4/5/2020,13,0,0,1
5/5/2020,13,0,0,1
6/5/2020,13,0,0,1
7/5/2020,13,0,4,1
8/5/2020,14,1,4,1
9/5/2020,14,0,4,1
10/5/2020,14,0,4,1
11/5/2020,14,0,4,1
12/5/2020,14,0,7,2
13/5/2020,14,0,8,2
14/5/2020,15,1,8,2
15/5/2020,18,3,8,2
16/5/2020,20,2,8,2
17/5/2020,22,2,9,2
18/5/2020,22,0,9,2
19/5/2020,22,0,9,2
20/5/2020,22,0,9,2
21/5/2020,23,1,9,2
22/5/2020,24,1,11,2
23/5/2020,24,0,11,2
24/5/2020,24,0,11,2
25/5/2020,59,35,11,2
26/5/2020,59,0,11,2
27/5/2020,59,0,11,2
28/5/2020,64,5,13,2
29/5/2020,74,10,14,2
30/5/2020,81,7,14,2
31/5/2020,81,0,14,2
1/6/2020,91,10,14,2
2/6/2020,92,1,14,2
3/6/2020,93,1,14,2
4/6/2020,97,4,16,2
5/6/2020,97,0,16,2
6/6/2020,98,1,16,2
7/6/2020,99,1,16,2
8/6/2020,108,9,16,2
9/6/2020,108,0,16,2
10/6/2020,108,0,18,2
11/6/2020,118,10,18,2
12/6/2020,125,7,18,2
13/6/2020,125,0,18,2
14/6/2020,149,24,18,2
15/6/2020,150,1,18,2
16/6/2020,150,0,26,2
17/6/2020,156,6,26,2
18/6/2020,185,29,26,2
19/6/2020,186,1,26,2
20/6/2020,188,2,26,2
21/6/2020,188,0,26,2
22/6/2020,198,10,26,2
23/6/2020,200,2,26,2
24/6/2020,200,0,58,2
25/6/2020,205,5,58,2
26/6/2020,212,7,64,2
27/6/2020,213,1,64,2
28/6/2020,219,6,64,2
29/6/2020,219,0,64,2
30/6/2020,219,0,64,2
1/7/2020,225,6,64,2
2/7/2020,225,0,64,2
3/7/2020,226,1,64,2
4/7/2020,242,16,64,3
5/7/2020,243,1,64,3
