Date,Cumulative,New_Cases,Recovered,Deaths
20/3/2020,1,1,0,0
21/3/2020,1,0,0,0
22/3/2020,1,0,0,0
23/3/2020,1,0,0,0
24/3/2020,1,0,0,0
25/3/2020,1,0,0,0
26/3/2020,1,0,0,0
27/3/2020,1,0,0,0
28/3/2020,1,0,0,0
29/3/2020,1,0,0,0
30/3/2020,1,0,0,0
31/3/2020,1,0,0,0
1/4/2020,1,0,0,0
2/4/2020,1,0,0,0
3/4/2020,1,0,0,0
4/4/2020,1,0,0,0
5/4/2020,1,0,0,0
6/4/2020,1,0,0,0
7/4/2020,1,0,0,0
8/4/2020,1,0,0,0
9/4/2020,1,0,0,0
10/4/2020,1,0,0,0
11/4/2020,1,0,0,0
12/4/2020,1,0,0,0
13/4/2020,1,0,0,0
14/4/2020,1,0,0,0
15/4/2020,1,0,0,0
16/4/2020,1,0,0,0
17/4/2020,1,0,0,0
18/4/2020,1,0,0,0
19/4/2020,1,0,0,0
20/4/2020,1,0,0,0
21/4/2020,1,0,0,0
22/4/2020,1,0,0,0
23/4/2020,1,0,0,0
24/4/2020,1,0,0,0
25/4/2020,1,0,0,0
26/4/2020,1,0,1,0
27/4/2020,1,0,1,0
28/4/2020,1,0,1,0
29/4/2020,1,0,1,0
30/4/2020,1,0,1,0
1/5/2020,1,0,1,0
2/5/2020,1,0,1,0
3/5/2020,1,0,1,0
4/5/2020,1,0,1,0
5/5/2020,1,0,1,0
6/5/2020,1,0,1,0
7/5/2020,1,0,1,0
8/5/2020,1,0,1,0
9/5/2020,1,0,1,0
10/5/2020,1,0,1,0
11/5/2020,1,0,1,0
12/5/2020,1,0,1,0
13/5/2020,1,0,1,0
14/5/2020,1,0,1,0
15/5/2020,1,0,1,0
16/5/2020,1,0,1,0
17/5/2020,1,0,1,0
18/5/2020,1,0,1,0
19/5/2020,1,0,1,0
20/5/2020,1,0,1,0
21/5/2020,1,0,1,0
22/5/2020,1,0,1,0
23/5/2020,1,0,1,0
24/5/2020,1,0,1,0
25/5/2020,2,1,1,0
26/5/2020,2,0,1,0
27/5/2020,2,0,1,0
28/5/2020,2,0,1,0
29/5/2020,2,0,1,0
30/5/2020,3,1,1,0
31/5/2020,3,0,1,0
1/6/2020,3,0,1,0
2/6/2020,3,0,1,0
3/6/2020,3,0,1,0
4/6/2020,3,0,1,0
5/6/2020,4,1,2,0
6/6/2020,6,2,2,0
7/6/2020,6,0,3,0
8/6/2020,6,0,3,0
9/6/2020,6,0,3,0
10/6/2020,6,0,3,0
11/6/2020,7,1,3,0
12/6/2020,7,0,3,0
13/6/2020,7,0,3,0
14/6/2020,7,0,3,0
15/6/2020,7,0,3,0
16/6/2020,7,0,3,0
17/6/2020,7,0,3,0
18/6/2020,11,4,3,0
19/6/2020,11,0,3,0
20/6/2020,12,1,3,0
21/6/2020,15,3,3,0
22/6/2020,15,0,3,0
23/6/2020,15,0,3,0
24/6/2020,15,0,3,0
25/6/2020,15,0,6,0
26/6/2020,15,0,6,0
27/6/2020,16,1,6,0
28/6/2020,16,0,6,0
29/6/2020,16,0,6,0
30/6/2020,17,1,8,0
1/7/2020,17,0,8,0
2/7/2020,17,0,8,0
3/7/2020,19,2,8,0
4/7/2020,19,0,8,0
5/7/2020,19,0,8,0
