Date,Cumulative,New_Cases,Recovered,Deaths
20/3/2020,0,0,0,0
21/3/2020,0,0,0,0
22/3/2020,0,0,0,0
23/3/2020,0,0,0,0
24/3/2020,0,0,0,0
25/3/2020,0,0,0,0
26/3/2020,0,0,0,0
27/3/2020,0,0,0,0
28/3/2020,0,0,0,0
29/3/2020,0,0,0,0
30/3/2020,0,0,0,0
31/3/2020,0,0,0,0
1/4/2020,0,0,0,0
2/4/2020,0,0,0,0
3/4/2020,0,0,0,0
4/4/2020,0,0,0,0
5/4/2020,0,0,0,0
6/4/2020,0,0,0,0
7/4/2020,0,0,0,0
8/4/2020,0,0,0,0
9/4/2020,0,0,0,0
10/4/2020,0,0,0,0
11/4/2020,0,0,0,0
12/4/2020,0,0,0,0
13/4/2020,0,0,0,0
14/4/2020,0,0,0,0
15/4/2020,0,0,0,0
16/4/2020,0,0,0,0
17/4/2020,0,0,0,0
18/4/2020,0,0,0,0
19/4/2020,0,0,0,0
20/4/2020,0,0,0,0
21/4/2020,0,0,0,0
22/4/2020,0,0,0,0
23/4/2020,0,0,0,0
24/4/2020,0,0,0,0
25/4/2020,0,0,0,0
26/4/2020,0,0,0,0
27/4/2020,0,0,0,0
28/4/2020,0,0,0,0
29/4/2020,0,0,0,0
30/4/2020,0,0,0,0
1/5/2020,0,0,0,0
2/5/2020,0,0,0,0
3/5/2020,0,0,0,0
4/5/2020,0,0,0,0
5/5/2020,0,0,0,0
6/5/2020,0,0,0,0
7/5/2020,0,0,0,0
8/5/2020,0,0,0,0
9/5/2020,0,0,0,0
10/5/2020,0,0,0,0
11/5/2020,0,0,0,0
12/5/2020,0,0,0,0
13/5/2020,0,0,0,0
14/5/2020,0,0,0,0
15/5/2020,0,0,0,0
16/5/2020,0,0,0,0
17/5/2020,0,0,0,0
18/5/2020,0,0,0,0
19/5/2020,0,0,0,0
20/5/2020,0,0,0,0
21/5/2020,0,0,0,0
22/5/2020,3,3,0,0
23/5/2020,3,0,0,0
24/5/2020,3,0,0,0
25/5/2020,16,13,0,0
26/5/2020,16,0,0,0
27/5/2020,16,0,0,0
28/5/2020,16,0,0,0
29/5/2020,16,0,0,0
30/5/2020,16,0,0,0
31/5/2020,16,0,0,0
1/6/2020,16,0,0,0
2/6/2020,21,5,0,0
3/6/2020,32,11,0,0
4/6/2020,40,8,0,0
5/6/2020,41,1,0,0
6/6/2020,41,0,0,0
7/6/2020,41,0,0,0
8/6/2020,41,0,0,0
9/6/2020,42,1,0,0
10/6/2020,45,3,0,0
11/6/2020,45,0,0,0
12/6/2020,45,0,0,0
13/6/2020,46,1,0,0
14/6/2020,46,0,0,0
15/6/2020,46,0,0,0
16/6/2020,46,0,0,0
17/6/2020,46,0,0,0
18/6/2020,46,0,0,0
19/6/2020,46,0,0,0
20/6/2020,46,0,0,0
21/6/2020,46,0,0,0
22/6/2020,46,0,0,0
23/6/2020,47,1,0,0
24/6/2020,49,2,15,0
25/6/2020,50,1,15,0
26/6/2020,50,0,15,0
27/6/2020,54,4,22,0
28/6/2020,54,0,22,0
29/6/2020,54,0,22,0
30/6/2020,54,0,22,0
1/7/2020,54,0,22,0
2/7/2020,54,0,22,0
3/7/2020,54,0,22,0
4/7/2020,90,36,22,0
5/7/2020,106,16,22,0
