Date,Cum_Cases,New Cases,Recovered,Death,CFR_%
20/3/2020,1,1,0,0,0.0
21/3/2020,2,1,0,0,0.0
22/3/2020,2,0,0,0,0.0
23/3/2020,2,0,0,1,50.0
24/3/2020,2,0,0,1,50.0
25/3/2020,2,0,0,1,50.0
26/3/2020,5,3,0,1,20.0
27/3/2020,5,0,0,1,20.0
28/3/2020,5,0,0,1,20.0
29/3/2020,5,0,0,1,20.0
30/3/2020,8,3,0,1,12.5
31/3/2020,8,0,0,1,12.5
1/4/2020,8,0,0,1,12.5
2/4/2020,9,1,0,1,11.1
3/4/2020,9,0,0,1,11.1
4/4/2020,9,0,0,1,11.1
5/4/2020,9,0,0,1,11.1
6/4/2020,10,1,0,1,10.0
7/4/2020,10,0,0,2,20.0
8/4/2020,10,0,0,3,30.0
9/4/2020,11,1,0,3,27.3
10/4/2020,13,2,0,3,23.1
11/4/2020,14,1,0,3,21.4
12/4/2020,14,0,0,3,21.4
13/4/2020,17,3,0,3,17.6
14/4/2020,18,1,0,3,16.7
15/4/2020,23,5,1,3,13.0
16/4/2020,24,1,2,3,12.5
17/4/2020,24,0,2,3,12.5
18/4/2020,25,1,2,3,12.0
19/4/2020,25,0,2,3,12.0
20/4/2020,25,0,2,3,12.0
21/4/2020,25,0,2,3,12.0
22/4/2020,28,3,2,4,14.3
23/4/2020,28,0,2,4,14.3
24/4/2020,28,0,2,4,14.3
25/4/2020,31,3,2,4,12.9
26/4/2020,31,0,5,4,12.9
27/4/2020,31,0,5,4,12.9
28/4/2020,32,1,5,4,12.5
29/4/2020,32,0,5,4,12.5
30/4/2020,34,2,5,4,11.8
1/5/2020,34,0,5,4,11.8
2/5/2020,34,0,5,4,11.8
3/5/2020,34,0,5,4,11.8
4/5/2020,34,0,5,4,11.8
5/5/2020,34,0,5,4,11.8
6/5/2020,34,0,5,4,11.8
7/5/2020,34,0,9,4,11.8
8/5/2020,34,0,9,4,11.8
9/5/2020,36,2,9,4,11.1
10/5/2020,36,0,9,4,11.1
11/5/2020,36,0,12,4,11.1
12/5/2020,37,1,12,4,10.8
13/5/2020,37,0,13,4,10.8
14/5/2020,38,1,13,4,10.5
15/5/2020,42,4,13,4,9.5
16/5/2020,44,2,17,7,15.9
17/5/2020,46,2,18,4,8.7
18/5/2020,46,0,18,4,8.7
19/5/2020,46,0,18,4,8.7
20/5/2020,48,2,18,4,8.3
21/5/2020,51,3,18,4,7.8
22/5/2020,56,5,18,4,7.1
23/5/2020,56,0,23,4,7.1
24/5/2020,56,0,25,4,7.1
25/5/2020,56,0,25,4,7.1
26/5/2020,63,7,25,4,6.3
27/5/2020,132,69,25,4,3.0
28/5/2020,149,17,28,4,2.7
29/5/2020,160,11,29,4,2.5
30/5/2020,174,14,29,4,2.3
31/5/2020,178,4,29,4,2.2
1/6/2020,203,25,29,4,2.0
2/6/2020,206,3,29,4,1.9
3/6/2020,222,16,29,4,1.8
4/6/2020,237,15,31,4,1.7
5/6/2020,265,28,33,4,1.5
6/6/2020,279,14,33,4,1.4
7/6/2020,282,3,34,4,1.4
8/6/2020,287,5,46,4,1.4
9/6/2020,314,27,46,4,1.3
10/6/2020,320,6,49,4,1.3
11/6/2020,332,12,51,4,1.2
12/6/2020,343,11,51,4,1.2
13/6/2020,356,13,54,4,1.1
14/6/2020,383,27,54,4,1.0
15/6/2020,387,4,54,4,1.0
16/6/2020,391,4,62,4,1.0
17/6/2020,401,10,63,4,1.0
18/6/2020,463,62,63,4,0.9
19/6/2020,479,16,63,4,0.8
20/6/2020,486,7,64,4,0.8
21/6/2020,489,3,64,4,0.8
22/6/2020,512,23,64,4,0.8
23/6/2020,525,13,64,4,0.8
24/6/2020,530,5,123,6,1.1
25/6/2020,551,21,128,6,1.1
26/6/2020,561,10,135,6,1.1
27/6/2020,567,6,142,6,1.1
28/6/2020,567,0,142,6,1.1
29/6/2020,574,7,152,7,1.2
30/6/2020,591,17,162,7,1.2
1/7/2020,605,14,166,7,1.2
2/7/2020,617,12,173,7,1.1
3/7/2020,625,8,176,7,1.1
4/7/2020,698,73,181,8,1.1
5/7/2020,716,18,181,8,1.1
6/7/2020,734,18,197,9,1.2
7/7/2020,787,53,201,9,1.1
8/7/2020,885,98,206,9,1.0
9/7/2020,926,41,306,12,1.3
10/7/2020,942,16,320,13,1.4
11/7/2020,982,40,320,18,1.8
12/7/2020,985,3,328,18,1.8
13/7/2020,1034,49,343,19,1.8
14/7/2020,1064,30,343,20,1.9
15/7/2020,1089,25,395,20,1.8
16/7/2020,1362,273,425,23,1.7
17/7/2020,1420,58,438,24,1.7
18/7/2020,1478,58,439,25,1.7
19/7/2020,1611,133,472,25,1.6
20/7/2020,1713,102,472,26,1.5
21/7/2020,1820,107,488,26,1.4
22/7/2020,2034,214,510,26,1.3
23/7/2020,2124,90,510,28,1.3
24/7/2020,2296,172,514,32,1.4
25/7/2020,2434,138,518,34,1.4
26/7/2020,2512,78,518,34,1.4
27/7/2020,2704,192,542,36,1.3
28/7/2020,2817,113,604,40,1.4
