Date,Cumulative_Cases
20/3/2020,1
21/3/2020,2
22/3/2020,2
23/3/2020,2
24/3/2020,2
25/3/2020,2
26/3/2020,5
27/3/2020,5
28/3/2020,5
29/3/2020,5
30/3/2020,8
31/3/2020,8
1/4/2020,8
2/4/2020,9
3/4/2020,9
4/4/2020,9
5/4/2020,9
6/4/2020,10
7/4/2020,10
8/4/2020,10
9/4/2020,11
10/4/2020,13
11/4/2020,14
12/4/2020,14
13/4/2020,17
14/4/2020,18
15/4/2020,23
16/4/2020,24
17/4/2020,24
18/4/2020,25
19/4/2020,25
20/4/2020,25
21/4/2020,25
22/4/2020,28
23/4/2020,28
24/4/2020,28
25/4/2020,31
26/4/2020,31
27/4/2020,31
28/4/2020,32
29/4/2020,32
30/4/2020,34
1/5/2020,34
2/5/2020,34
3/5/2020,34
4/5/2020,34
5/5/2020,34
6/5/2020,34
7/5/2020,34
8/5/2020,34
9/5/2020,36
10/5/2020,36
11/5/2020,36
12/5/2020,37
13/5/2020,37
14/5/2020,38
15/5/2020,42
16/5/2020,44
17/5/2020,46
18/5/2020,46
19/5/2020,46
20/5/2020,48
21/5/2020,51
22/5/2020,56
23/5/2020,56
24/5/2020,56
25/5/2020,56
26/5/2020,63
27/5/2020,132
28/5/2020,149
29/5/2020,160
30/5/2020,174
31/5/2020,178
1/6/2020,203
2/6/2020,206
3/6/2020,222
4/6/2020,237
5/6/2020,265
6/6/2020,279
7/6/2020,282
8/6/2020,287
9/6/2020,314
10/6/2020,320
11/6/2020,332
12/6/2020,343
13/6/2020,356
14/6/2020,383
15/6/2020,387
16/6/2020,391
17/6/2020,401
18/6/2020,463
19/6/2020,479
20/6/2020,486
21/6/2020,489
22/6/2020,512
23/6/2020,525
24/6/2020,530
25/6/2020,551
26/6/2020,561
27/6/2020,567
28/6/2020,567
29/6/2020,574
30/6/2020,591
1/7/2020,605
2/7/2020,617
3/7/2020,625
4/7/2020,698
5/7/2020,716
6/7/2020,734
7/7/2020,787
8/7/2020,885
9/7/2020,926
10/7/2020,942
11/7/2020,982
