Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.13823,0.18672,full_february,DAY_OF_WEEK
2/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,0.03095,0.10094,full_february,DAY_OF_WEEK
3/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.03279,0.1288,full_february,DAY_OF_WEEK
4/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.06359,0.13719,full_february,DAY_OF_WEEK
5/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.01353,0.1323,full_february,DAY_OF_WEEK
6/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,0.01391,0.12606,full_february,DAY_OF_WEEK
7/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,0.04334,0.14115,full_february,DAY_OF_WEEK
8/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.0124,0.18853,full_february,DAY_OF_WEEK
9/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,0.0469,0.12575,full_february,DAY_OF_WEEK
10/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.0078,0.12806,full_february,DAY_OF_WEEK
11/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.01225,0.12221,full_february,DAY_OF_WEEK
12/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.01094,0.1237,full_february,DAY_OF_WEEK
13/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.02403,0.12842,full_february,DAY_OF_WEEK
14/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,0.04039,0.14486,full_february,DAY_OF_WEEK
15/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.00414,0.17607,full_february,DAY_OF_WEEK
16/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,0.02065,0.12093,full_february,DAY_OF_WEEK
17/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,0.00449,0.12805,full_february,DAY_OF_WEEK
18/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.05466,0.13296,full_february,DAY_OF_WEEK
19/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.0483,0.1202,full_february,DAY_OF_WEEK
20/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.05234,0.1229,full_february,DAY_OF_WEEK
21/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.04442,0.15925,full_february,DAY_OF_WEEK
22/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.12099,0.21415,full_february,DAY_OF_WEEK
23/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.03728,0.14306,full_february,DAY_OF_WEEK
24/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.00295,0.14449,full_february,DAY_OF_WEEK
25/3/2020,ZWE,GADM,ZWE.1.1_1,Bulawayo,-0.09099,0.17674,full_february,DAY_OF_WEEK
